Name;Age;Cost;Position;Team
Jugador-233;25;5000000;MC;Real Valladolid
Jugador-234;24;10000000;MC;Real Valladolid
Jugador-235;21;19000000;MC;Real Valladolid
Jugador-236;20;6000000;MC;Real Valladolid
Jugador-237;29;18000000;MC;Real Valladolid
Jugador-238;28;9000000;MC;Real Valladolid
Jugador-239;28;13000000;MC;Real Valladolid
Jugador-240;22;14000000;MC;Real Valladolid
Jugador-241;26;15000000;MC;Real Valladolid
Jugador-242;24;19000000;MC;Real Valladolid
Jugador-243;24;15000000;MC;Real Valladolid
Jugador-244;23;18000000;MC;Real Valladolid
Jugador-245;26;13000000;MC;Real Valladolid
Jugador-246;22;12000000;MC;Real Valladolid
Jugador-247;20;7000000;MC;Real Valladolid
Jugador-248;24;12000000;MC;Real Valladolid
Jugador-249;26;15000000;MC;Real Valladolid
Jugador-250;28;5000000;MC;Athletic Club de Bilbao
Jugador-251;22;7000000;MC;Athletic Club de Bilbao
Jugador-252;23;13000000;MC;Athletic Club de Bilbao
Jugador-253;29;14000000;MC;Athletic Club de Bilbao
Jugador-254;28;5000000;MC;Athletic Club de Bilbao
Jugador-255;27;17000000;MC;Athletic Club de Bilbao
Jugador-256;29;5000000;MC;Athletic Club de Bilbao
Jugador-257;22;11000000;MC;Athletic Club de Bilbao
Jugador-258;24;15000000;MC;Athletic Club de Bilbao
Jugador-259;20;9000000;MC;Athletic Club de Bilbao
Jugador-260;21;7000000;MC;Athletic Club de Bilbao
Jugador-261;25;16000000;MC;Athletic Club de Bilbao
Jugador-262;26;15000000;MC;Athletic Club de Bilbao
Jugador-263;21;12000000;MC;Athletic Club de Bilbao
Jugador-264;20;7000000;MC;Athletic Club de Bilbao
Jugador-265;21;19000000;MC;Athletic Club de Bilbao
Jugador-266;27;11000000;MC;Athletic Club de Bilbao
Jugador-267;29;19000000;MC;Athletic Club de Bilbao
Jugador-268;28;8000000;MC;Athletic Club de Bilbao
Jugador-269;29;6000000;MC;Athletic Club de Bilbao
Jugador-270;26;13000000;MC;Athletic Club de Bilbao
Jugador-271;21;15000000;MC;Athletic Club de Bilbao
Jugador-272;25;11000000;MC;Athletic Club de Bilbao
Jugador-273;23;6000000;MC;Athletic Club de Bilbao
Jugador-274;20;12000000;MC;Athletic Club de Bilbao
Jugador-275;23;6000000;MC;Atlético de Madrid
Jugador-276;25;14000000;MC;Atlético de Madrid
Jugador-277;23;7000000;MC;Atlético de Madrid
Jugador-278;25;16000000;MC;Atlético de Madrid
Jugador-279;20;12000000;MC;Atlético de Madrid
Jugador-280;22;7000000;MC;Atlético de Madrid
Jugador-281;27;8000000;MC;Atlético de Madrid
Jugador-282;22;9000000;MC;Atlético de Madrid
Jugador-283;26;7000000;MC;Atlético de Madrid
Jugador-284;23;11000000;MC;Atlético de Madrid
Jugador-285;23;15000000;MC;Atlético de Madrid
Jugador-286;22;18000000;MC;Atlético de Madrid
Jugador-287;23;17000000;MC;Atlético de Madrid
Jugador-288;21;17000000;MC;Atlético de Madrid
Jugador-289;24;15000000;MC;Atlético de Madrid
Jugador-290;27;15000000;MC;Atlético de Madrid
Jugador-291;28;14000000;MC;Atlético de Madrid
Jugador-292;29;9000000;MC;Atlético de Madrid
Jugador-293;23;8000000;MC;Atlético de Madrid
Jugador-294;21;13000000;MC;Atlético de Madrid
Jugador-295;20;6000000;MC;Atlético de Madrid
Jugador-296;23;14000000;MC;Atlético de Madrid
Jugador-297;26;19000000;MC;Atlético de Madrid
Jugador-298;20;13000000;MC;Atlético de Madrid
Jugador-299;24;9000000;MC;Atlético de Madrid
Jugador-300;26;13000000;MC;CA Osasuna
Jugador-301;27;9000000;MC;CA Osasuna
Jugador-302;27;19000000;MC;CA Osasuna
Jugador-303;24;19000000;MC;CA Osasuna
Jugador-304;29;7000000;MC;CA Osasuna
Jugador-305;28;11000000;MC;CA Osasuna
Jugador-306;23;18000000;MC;CA Osasuna
Jugador-307;28;7000000;MC;CA Osasuna
Jugador-308;29;8000000;MC;CA Osasuna
Jugador-309;20;9000000;MC;CA Osasuna
Jugador-310;26;18000000;MC;CA Osasuna
Jugador-311;25;16000000;MC;CA Osasuna
Jugador-312;26;11000000;MC;CA Osasuna
Jugador-313;27;13000000;MC;CA Osasuna
Jugador-314;25;7000000;MC;CA Osasuna
Jugador-315;25;19000000;MC;CA Osasuna
Jugador-316;26;19000000;MC;CA Osasuna
Jugador-317;27;9000000;MC;CA Osasuna
Jugador-318;27;16000000;MC;CA Osasuna
Jugador-319;29;17000000;MC;CA Osasuna
Jugador-320;25;5000000;MC;CA Osasuna
Jugador-321;25;12000000;MC;CA Osasuna
Jugador-322;24;17000000;MC;CA Osasuna
Jugador-323;28;14000000;MC;CA Osasuna
Jugador-324;25;18000000;MC;CA Osasuna
Jugador-325;21;15000000;MC;Rayo Vallecano de Madrid
Jugador-326;28;17000000;MC;Rayo Vallecano de Madrid
Jugador-327;20;5000000;MC;Rayo Vallecano de Madrid
Jugador-328;27;15000000;MC;Rayo Vallecano de Madrid
Jugador-329;29;17000000;MC;Rayo Vallecano de Madrid
Jugador-330;29;11000000;MC;Rayo Vallecano de Madrid
Jugador-331;21;6000000;MC;Rayo Vallecano de Madrid
Jugador-332;24;17000000;MC;Rayo Vallecano de Madrid
Jugador-333;25;11000000;MC;Rayo Vallecano de Madrid
Jugador-334;29;13000000;MC;Rayo Vallecano de Madrid
Jugador-335;25;14000000;MC;Rayo Vallecano de Madrid
Jugador-336;20;8000000;MC;Rayo Vallecano de Madrid
Jugador-337;22;6000000;MC;Rayo Vallecano de Madrid
Jugador-338;21;10000000;MC;Rayo Vallecano de Madrid
Jugador-339;20;13000000;MC;Rayo Vallecano de Madrid
Jugador-340;24;15000000;MC;Rayo Vallecano de Madrid
Jugador-341;22;16000000;MC;Rayo Vallecano de Madrid
Jugador-342;20;15000000;MC;Rayo Vallecano de Madrid
Jugador-343;24;11000000;MC;Rayo Vallecano de Madrid
Jugador-344;20;15000000;MC;Rayo Vallecano de Madrid
Jugador-345;26;10000000;MC;Rayo Vallecano de Madrid
Jugador-346;26;11000000;MC;Rayo Vallecano de Madrid
Jugador-347;25;6000000;MC;Rayo Vallecano de Madrid
Jugador-348;21;19000000;MC;Rayo Vallecano de Madrid
Jugador-349;24;9000000;MC;Rayo Vallecano de Madrid
Jugador-350;27;16000000;MC;Real Zaragoza
Jugador-351;24;12000000;MC;Real Zaragoza
Jugador-352;23;14000000;MC;Real Zaragoza
Jugador-353;25;8000000;MC;Real Zaragoza
Jugador-354;23;16000000;MC;Real Zaragoza
Jugador-355;29;16000000;MC;Real Zaragoza
Jugador-356;24;6000000;MC;Real Zaragoza
Jugador-357;26;12000000;MC;Real Zaragoza
Jugador-358;28;15000000;MC;Real Zaragoza
Jugador-359;24;11000000;MC;Real Zaragoza
Jugador-360;28;13000000;MC;Real Zaragoza
Jugador-361;22;11000000;MC;Real Zaragoza
Jugador-362;25;6000000;MC;Real Zaragoza
Jugador-363;20;8000000;MC;Real Zaragoza
Jugador-364;23;8000000;MC;Real Zaragoza
Jugador-365;28;8000000;MC;Real Zaragoza
Jugador-366;23;9000000;MC;Real Zaragoza
Jugador-367;21;14000000;MC;Real Zaragoza
Jugador-368;27;5000000;MC;Real Zaragoza
Jugador-369;24;9000000;MC;Real Zaragoza
Jugador-370;23;6000000;MC;Real Zaragoza
Jugador-371;24;5000000;MC;Real Zaragoza
Jugador-372;27;16000000;MC;Real Zaragoza
Jugador-373;23;13000000;MC;Real Zaragoza
Jugador-374;28;12000000;MC;Real Zaragoza
Jugador-375;25;12000000;MC;Sociedad Deportiva Huesca
Jugador-376;28;12000000;MC;Sociedad Deportiva Huesca
Jugador-377;23;16000000;MC;Sociedad Deportiva Huesca
Jugador-378;23;8000000;MC;Sociedad Deportiva Huesca
Jugador-379;26;8000000;MC;Sociedad Deportiva Huesca
Jugador-380;21;12000000;MC;Sociedad Deportiva Huesca
Jugador-381;27;13000000;MC;Sociedad Deportiva Huesca
Jugador-382;20;16000000;MC;Sociedad Deportiva Huesca
Jugador-383;27;18000000;MC;Sociedad Deportiva Huesca
Jugador-384;21;15000000;MC;Sociedad Deportiva Huesca
Jugador-385;24;19000000;MC;Sociedad Deportiva Huesca
Jugador-386;20;16000000;MC;Sociedad Deportiva Huesca
Jugador-387;24;7000000;MC;Sociedad Deportiva Huesca
Jugador-388;24;16000000;MC;Sociedad Deportiva Huesca
Jugador-389;21;8000000;MC;Sociedad Deportiva Huesca
Jugador-390;25;18000000;MC;Sociedad Deportiva Huesca
Jugador-391;25;13000000;MC;Sociedad Deportiva Huesca
Jugador-392;29;14000000;MC;Sociedad Deportiva Huesca
Jugador-393;29;9000000;MC;Sociedad Deportiva Huesca
Jugador-394;23;13000000;MC;Sociedad Deportiva Huesca
Jugador-395;26;16000000;MC;Sociedad Deportiva Huesca
Jugador-396;22;10000000;MC;Sociedad Deportiva Huesca
Jugador-397;23;18000000;MC;Sociedad Deportiva Huesca
Jugador-398;22;6000000;MC;Sociedad Deportiva Huesca
Jugador-399;29;8000000;MC;Sociedad Deportiva Huesca
Jugador-400;25;5000000;MC;RCD Mallorca
Jugador-401;25;7000000;MC;RCD Mallorca
Jugador-402;23;19000000;MC;RCD Mallorca
Jugador-403;24;15000000;MC;RCD Mallorca
Jugador-404;22;17000000;MC;RCD Mallorca
Jugador-405;27;9000000;MC;RCD Mallorca
Jugador-406;25;5000000;MC;RCD Mallorca
Jugador-407;21;19000000;MC;RCD Mallorca
Jugador-408;22;7000000;MC;RCD Mallorca
Jugador-409;25;15000000;MC;RCD Mallorca
Jugador-410;23;14000000;MC;RCD Mallorca
Jugador-411;27;11000000;MC;RCD Mallorca
Jugador-412;22;6000000;MC;RCD Mallorca
Jugador-413;29;15000000;MC;RCD Mallorca
Jugador-414;25;18000000;MC;RCD Mallorca
Jugador-415;22;9000000;MC;RCD Mallorca
Jugador-416;27;5000000;MC;RCD Mallorca
Jugador-417;28;16000000;MC;RCD Mallorca
Jugador-418;27;13000000;MC;RCD Mallorca
Jugador-419;22;8000000;MC;RCD Mallorca
Jugador-420;26;12000000;MC;RCD Mallorca
Jugador-421;25;7000000;MC;RCD Mallorca
Jugador-422;20;9000000;MC;RCD Mallorca
Jugador-423;24;10000000;MC;RCD Mallorca
Jugador-424;21;15000000;MC;RCD Mallorca
Jugador-425;23;11000000;MC;Cádiz CF
Jugador-426;25;17000000;MC;Cádiz CF
Jugador-427;28;6000000;MC;Cádiz CF
Jugador-428;26;5000000;MC;Cádiz CF
Jugador-429;25;10000000;MC;Cádiz CF
Jugador-430;21;10000000;MC;Cádiz CF
Jugador-431;26;6000000;MC;Cádiz CF
Jugador-432;28;12000000;MC;Cádiz CF
Jugador-433;24;7000000;MC;Cádiz CF
Jugador-434;24;16000000;MC;Cádiz CF
Jugador-435;29;5000000;MC;Cádiz CF
Jugador-436;25;14000000;MC;Cádiz CF
Jugador-437;24;17000000;MC;Cádiz CF
Jugador-438;29;5000000;MC;Cádiz CF
Jugador-439;24;14000000;MC;Cádiz CF
Jugador-440;29;14000000;MC;Cádiz CF
Jugador-441;23;16000000;MC;Cádiz CF
Jugador-442;21;17000000;MC;Cádiz CF
Jugador-443;24;16000000;MC;Cádiz CF
Jugador-444;27;5000000;MC;Cádiz CF
Jugador-445;28;8000000;MC;Cádiz CF
Jugador-446;25;13000000;MC;Cádiz CF
Jugador-447;20;19000000;MC;Cádiz CF
Jugador-448;22;12000000;MC;Cádiz CF
Jugador-449;20;11000000;MC;Cádiz CF
Jugador-450;26;8000000;MC;UD Almería
Jugador-451;25;18000000;MC;UD Almería
Jugador-452;27;17000000;MC;UD Almería
Jugador-453;27;5000000;MC;UD Almería
Jugador-454;24;16000000;MC;UD Almería
Jugador-455;23;9000000;MC;UD Almería
Jugador-456;23;6000000;MC;UD Almería
Jugador-457;29;18000000;MC;UD Almería
Jugador-458;26;17000000;MC;UD Almería
Jugador-459;28;11000000;MC;UD Almería
Jugador-460;22;6000000;MC;UD Almería
Jugador-461;21;10000000;MC;UD Almería
Jugador-462;23;16000000;MC;UD Almería
Jugador-463;29;16000000;MC;UD Almería
Jugador-464;25;12000000;MC;UD Almería
Jugador-465;29;11000000;MC;UD Almería
Jugador-466;22;19000000;MC;UD Almería
Jugador-467;28;10000000;MC;UD Almería
Jugador-468;29;12000000;MC;UD Almería
Jugador-469;28;15000000;MC;UD Almería
Jugador-470;25;5000000;MC;UD Almería
Jugador-471;22;12000000;MC;UD Almería
Jugador-472;25;13000000;MC;UD Almería
Jugador-473;29;15000000;MC;UD Almería
Jugador-474;22;16000000;MC;UD Almería
Jugador-475;26;10000000;MC;Getafe CD
Jugador-476;29;5000000;MC;Getafe CD
Jugador-477;25;19000000;MC;Getafe CD
Jugador-478;27;18000000;MC;Getafe CD
Jugador-479;26;8000000;MC;Getafe CD
Jugador-480;25;13000000;MC;Getafe CD
Jugador-481;21;18000000;MC;Getafe CD
Jugador-482;24;17000000;MC;Getafe CD
Jugador-483;20;5000000;MC;Getafe CD
Jugador-484;21;14000000;MC;Getafe CD
Jugador-485;21;6000000;MC;Getafe CD
Jugador-486;29;11000000;MC;Getafe CD
Jugador-487;21;17000000;MC;Getafe CD
Jugador-488;23;12000000;MC;Getafe CD
Jugador-489;22;10000000;MC;Getafe CD
Jugador-490;25;19000000;MC;Getafe CD
Jugador-491;27;6000000;MC;Getafe CD
Jugador-492;20;15000000;MC;Getafe CD
Jugador-493;23;5000000;MC;Getafe CD
Jugador-494;28;5000000;MC;Getafe CD
Jugador-495;20;17000000;MC;Getafe CD
Jugador-496;27;10000000;MC;Getafe CD
Jugador-497;23;10000000;MC;Getafe CD
Jugador-498;29;19000000;MC;Getafe CD
Jugador-499;27;5000000;MC;Getafe CD
Jugador-500;26;1000000;MC;All Stars
Jugador-501;29;500000;MC;All Stars
Jugador-502;25;1900000;MC;All Stars
Jugador-503;27;1800000;MC;All Stars
Jugador-504;26;800000;MC;All Stars
Jugador-505;25;1300000;MC;All Stars
Jugador-506;21;1800000;MC;All Stars
Jugador-507;24;1700000;MC;All Stars
Jugador-508;20;500000;MC;All Stars
Jugador-509;21;1400000;MC;All Stars
Jugador-510;21;600000;MC;All Stars
Jugador-511;29;1100000;MC;All Stars
Jugador-512;21;1700000;MC;All Stars
Jugador-513;23;1200000;MC;All Stars
Jugador-514;22;1000000;MC;All Stars
Jugador-515;25;1900000;MC;All Stars
Jugador-516;27;600000;MC;All Stars
Jugador-517;20;1500000;MC;All Stars
Jugador-518;23;500000;MC;All Stars
Jugador-519;28;500000;MC;All Stars
Jugador-520;20;1700000;MC;All Stars
Jugador-521;27;1000000;MC;All Stars
Jugador-522;23;1000000;MC;All Stars
Jugador-523;29;1900000;MC;All Stars
Jugador-524;27;500000;MC;All Stars
